"Sample Collection Date","Site Name","County","PCR Pathogen Target","PCR Gene Target","Normalized Pathogen Concentration (gene copies/person/day)","Date/Time Updated"
2024-09-16,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-10-07,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-10-21,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-04,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-06,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-08,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-12,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-13,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-15,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-18,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-20,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-22,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-11-25,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-12-02,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-12-04,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",83661325.0593206,2025-09-17 09:04:27.907552
2024-12-06,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",81977360.2316972,2025-09-17 09:04:27.907552
2024-12-09,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",208330505.817413,2025-09-17 09:04:27.907552
2024-12-13,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",80317800.6914306,2025-09-17 09:04:27.907552
2024-12-16,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2025-09-17 09:04:27.907552
2024-12-18,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",456899612.67611,2025-09-17 09:04:27.907552
2024-12-20,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",90079915.6341751,2025-09-17 09:04:27.907552
2024-12-23,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",228477000.80111,2025-09-17 09:04:27.907552
2024-12-27,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",323254027.769379,2025-09-17 09:04:27.907552
2024-12-30,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",167200623.681857,2025-09-17 09:04:27.907552
2025-01-02,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",294490095.549367,2025-09-17 09:04:27.907552
2025-01-06,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",146919829.888305,2025-09-17 09:04:27.907552
2025-01-08,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",355452550.943818,2025-09-17 09:04:27.907552
2025-01-10,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",675881980.483906,2025-09-17 09:04:27.907552
2025-01-13,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",418232712.140608,2025-09-17 09:04:27.907552
2025-01-15,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",393651706.714777,2025-09-17 09:04:27.907552
2025-01-17,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",288417781.13741,2025-09-17 09:04:27.907552
2025-01-20,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",307418482.744398,2025-09-17 09:04:27.907552
2025-01-22,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",518186449.20423,2025-09-17 09:04:27.907552
2025-01-24,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",591544419.776623,2025-09-17 09:04:27.907552
