Raw_Date,COVID-19 (%),Influenza (%),RSV (%),Date_ISO
"Saturday, November 05, 2022",3,0.9,3.6,11/5/2022
"Saturday, November 12, 2022",2.8,1.7,2.1,11/12/2022
"Saturday, November 19, 2022",2.6,3.5,2.8,11/19/2022
"Saturday, November 26, 2022",4.3,6.6,2.6,11/26/2022
"Saturday, December 03, 2022",4.2,8.9,2.1,12/3/2022
"Saturday, December 10, 2022",5,6.2,1.5,12/10/2022
"Saturday, December 24, 2022",3.9,28,1.4,12/24/2022
"Saturday, December 31, 2022",5,2.5,1.6,12/31/2022
"Saturday, January 07, 2023",4.6,1.5,0.9,1/7/2023
"Saturday, January 14, 2023",3.7,0.7,0.9,1/14/2023
"Saturday, January 21, 2023",4.8,0,0.9,1/21/2023
"Saturday, January 28, 2023",3.6,0,0.4,1/28/2023
"Saturday, February 04, 2023",3.9,0,0.5,2/4/2023
"Saturday, February 11, 2023",4.3,0,0,2/11/2023
"Saturday, February 18, 2023",4.3,0,0,2/18/2023
"Saturday, February 25, 2023",3.9,0,0,2/25/2023
"Saturday, March 04, 2023",2.9,0,0,3/4/2023
"Saturday, March 11, 2023",2.9,0,0,3/11/2023
"Saturday, March 18, 2023",3.3,0,0,3/18/2023
"Saturday, March 25, 2023",3.3,0,0,3/25/2023
"Saturday, April 01, 2023",2.9,0,0,4/1/2023
"Saturday, April 08, 2023",24,0,0,4/8/2023
"Saturday, April 15, 2023",2.7,0,0,4/15/2023
"Saturday, April 22, 2023",2.7,0,0,4/22/2023
"Saturday, April 29, 2023",2,0,0,4/29/2023
"Saturday, May 06, 2023",2,0,0,5/6/2023
"Saturday, May 13, 2023",1.4,0,0,5/13/2023
"Saturday, May 20, 2023",1.5,0,0,5/20/2023
"Saturday, May 27, 2023",1.8,0,0,5/27/2023
"Saturday, June 03, 2023",1.3,0,0,6/3/2023
"Saturday, June 10, 2023",1.7,0,0,6/10/2023
"Saturday, June 17, 2023",1,0,0,6/17/2023
"Saturday, June 24, 2023",1.1,0,0,6/24/2023
