Data as of 6/30/2025 11:59PM,,,,
County,Coverage 2024-2025,Coverage 2023-2024,Coverage 2022-2023,Coverage 2021-2022
Adams,19.70%,17.90%,23.50%,23.40%
Asotin,16.50%,17.80%,19.10%,18.00%
Benton,23.30%,24.70%,26.40%,26.80%
Chelan,32.60%,33.30%,34.40%,34.50%
Clallam,30.70%,33.00%,35.20%,34.50%
Clark,27.90%,28.40%,30.00%,29.70%
Columbia,17.30%,23.00%,24.10%,24.50%
Cowlitz,24.80%,25.70%,27.00%,27.70%
Douglas,29.20%,29.80%,30.60%,30.00%
Ferry,10.60%,9.60%,14.20%,14.10%
Franklin,18.90%,20.50%,21.20%,21.80%
Garfield,19.30%,23.10%,26.70%,27.40%
Grant,21.30%,21.50%,24.00%,23.00%
Grays Harbor,22.20%,24.00%,25.90%,24.50%
Island,30.50%,30.60%,29.20%,30.10%
Jefferson,39.20%,40.80%,42.60%,39.30%
King,38.10%,39.00%,41.00%,38.80%
Kitsap,32.40%,33.20%,34.70%,34.00%
Kittitas,18.90%,19.60%,23.50%,23.60%
Klickitat,11.00%,11.50%,13.60%,12.70%
Lewis,19.20%,20.60%,22.20%,20.00%
Lincoln,22.70%,24.90%,26.30%,27.30%
Mason,27.10%,27.30%,29.70%,27.90%
Okanogan,24.00%,25.00%,26.60%,25.60%
Pacific,19.20%,21.00%,23.30%,21.20%
Pend Oreille,15.40%,16.00%,16.90%,17.10%
Pierce,26.50%,27.30%,29.00%,28.50%
San Juan,33.00%,32.90%,35.70%,34.60%
Skagit,29.90%,31.20%,33.10%,32.10%
Skamania,12.20%,12.90%,15.70%,13.40%
Snohomish,30.40%,31.80%,34.10%,33.50%
Spokane,25.90%,27.10%,28.10%,27.20%
Stevens,14.10%,15.30%,16.50%,15.10%
Thurston,32.00%,32.40%,33.70%,32.70%
Unknown,,,,
Wahkiakum,21.20%,22.20%,24.40%,22.80%
Walla Walla,26.10%,27.50%,29.30%,28.20%
Whatcom,31.00%,31.90%,32.70%,30.90%
Whitman,24.00%,24.20%,24.90%,22.50%
Yakima,25.00%,25.60%,27.60%,28.50%
